"","subject_url","load_time","energy_consumed","opt_level","subject_id","subject_rank"
"345","nlgodaddycom",177,81.081504,"3","11","52"
"776","nlgodaddycom",314,63.82224,"3","11","52"
"777","nlgodaddycom",133,76.898016,"3","11","52"
"778","nlgodaddycom",169,75.49704,"3","11","52"
"779","nlgodaddycom",146,80.478288,"3","11","52"
"780","nlgodaddycom",112,80.322624,"3","11","52"
"311","dsalipaycom",26,68.508,"0","12","53"
"312","dsalipaycom",67,82.8324,"0","12","53"
"313","dsalipaycom",71,82.9881,"0","12","53"
"314","dsalipaycom",16,82.2096,"0","12","53"
"315","dsalipaycom",89,84.3894,"0","12","53"
"746","dsalipaycom",34,70.343856,"0","12","53"
"747","dsalipaycom",132,84.03912,"0","12","53"
"748","dsalipaycom",338,83.26098,"0","12","53"
"749","dsalipaycom",289,72.833904,"0","12","53"
"750","dsalipaycom",78,85.439772,"0","12","53"
"106","dsalipaycom",21,67.912776,"1","12","53"
"107","dsalipaycom",14,82.17756,"1","12","53"
"108","dsalipaycom",32,68.99814,"1","12","53"
"109","dsalipaycom",20,82.17756,"1","12","53"
"110","dsalipaycom",41,84.50334,"1","12","53"
"541","dsalipaycom",27,68.17536,"1","12","53"
"542","dsalipaycom",169,82.275264,"1","12","53"
"543","dsalipaycom",15,82.740096,"1","12","53"
"544","dsalipaycom",53,81.810432,"1","12","53"
"545","dsalipaycom",18,84.754368,"1","12","53"
"356","dsalipaycom",21,68.054688,"2","12","53"
"357","dsalipaycom",104,82.34928,"2","12","53"
"358","dsalipaycom",97,83.747664,"2","12","53"
"359","dsalipaycom",38,82.34928,"2","12","53"
"360","dsalipaycom",44,82.504656,"2","12","53"
"791","dsalipaycom",39,66.74976,"2","12","53"
"792","dsalipaycom",11,80.565408,"2","12","53"
"793","dsalipaycom",66,81.652032,"2","12","53"
"794","dsalipaycom",19,79.013088,"2","12","53"
"795","dsalipaycom",53,81.652032,"2","12","53"
"396","dsalipaycom",44,60.216048,"3","12","53"
"397","dsalipaycom",12,75.114864,"3","12","53"
"398","dsalipaycom",13,76.82202,"3","12","53"
"399","dsalipaycom",10,75.425256,"3","12","53"
"400","dsalipaycom",56,76.201236,"3","12","53"
"811","dsalipaycom",34,58.704912,"3","12","53"
"812","dsalipaycom",76,73.924704,"3","12","53"
"813","dsalipaycom",42,64.917072,"3","12","53"
"814","dsalipaycom",66,74.235312,"3","12","53"
"815","dsalipaycom",64,75.633048,"3","12","53"
"1","mozillaorg",149,62.108748,"0","13","56"
"2","mozillaorg",86,75.054492,"0","13","56"
"3","mozillaorg",90,74.592144,"0","13","56"
"4","mozillaorg",71,73.359216,"0","13","56"
"5","mozillaorg",79,62.725212,"0","13","56"
"436","mozillaorg",317,65.586996,"0","13","56"
"437","mozillaorg",225,75.20022,"0","13","56"
"438","mozillaorg",139,78.30126,"0","13","56"
"439","mozillaorg",91,80.937144,"0","13","56"
"440","mozillaorg",88,77.060844,"0","13","56"
"301","mozillaorg",45,63.55656,"1","13","56"
"302","mozillaorg",312,76.73292,"1","13","56"
"303","mozillaorg",74,77.197968,"1","13","56"
"304","mozillaorg",145,75.95784,"1","13","56"
"305","mozillaorg",73,77.042952,"1","13","56"
"736","mozillaorg",80,63.051768,"1","13","56"
"737","mozillaorg",49,78.540912,"1","13","56"
"738","mozillaorg",224,76.66344,"1","13","56"
"739","mozillaorg",49,79.636104,"1","13","56"
"740","mozillaorg",87,81.826488,"1","13","56"
"261","mozillaorg",75,61.782336,"2","13","56"
"262","mozillaorg",130,77.305536,"2","13","56"
"263","mozillaorg",133,75.753216,"2","13","56"
"264","mozillaorg",56,77.926464,"2","13","56"
"265","mozillaorg",100,76.218912,"2","13","56"
"686","mozillaorg",74,62.89812,"2","13","56"
"687","mozillaorg",120,78.583824,"2","13","56"
"688","mozillaorg",87,66.0042,"2","13","56"
"689","mozillaorg",126,77.030784,"2","13","56"
"690","mozillaorg",101,76.87548,"2","13","56"
"36","mozillaorg",264,62.7669,"3","13","56"
"37","mozillaorg",80,79.96968,"3","13","56"
"38","mozillaorg",89,80.27964,"3","13","56"
"39","mozillaorg",103,66.95136,"3","13","56"
"40","mozillaorg",132,79.0398,"3","13","56"
"471","mozillaorg",114,62.0064,"3","13","56"
"472","mozillaorg",89,77.508,"3","13","56"
"473","mozillaorg",106,76.112856,"3","13","56"
"474","mozillaorg",97,76.577904,"3","13","56"
"475","mozillaorg",65,76.112856,"3","13","56"
"61","okezonecom",81,67.55724,"0","14","62"
"62","okezonecom",96,82.155816,"0","14","62"
"63","okezonecom",151,79.360344,"0","14","62"
"64","okezonecom",157,78.739128,"0","14","62"
"65","okezonecom",62,72.371664,"0","14","62"
"496","okezonecom",288,65.507904,"0","14","62"
"497","okezonecom",154,83.04912,"0","14","62"
"498","okezonecom",28,79.94448,"0","14","62"
"499","okezonecom",186,79.634016,"0","14","62"
"500","okezonecom",86,78.857856,"0","14","62"
"351","okezonecom",102,65.62944,"1","14","62"
"352","okezonecom",147,84.44736,"1","14","62"
"353","okezonecom",270,77.13792,"1","14","62"
"354","okezonecom",137,76.51584,"1","14","62"
"355","okezonecom",95,79.3152,"1","14","62"
"786","okezonecom",183,66.81168,"1","14","62"
"787","okezonecom",85,82.660032,"1","14","62"
"788","okezonecom",161,88.719696,"1","14","62"
"789","okezonecom",80,77.066496,"1","14","62"
"790","okezonecom",149,77.221872,"1","14","62"
"71","okezonecom",266,64.501632,"2","14","62"
"72","okezonecom",118,80.62704,"2","14","62"
"73","okezonecom",114,79.696728,"2","14","62"
"74","okezonecom",55,79.07652,"2","14","62"
"75","okezonecom",329,82.022508,"2","14","62"
"506","okezonecom",66,63.85176,"2","14","62"
"507","okezonecom",125,78.10992,"2","14","62"
"508","okezonecom",106,79.0398,"2","14","62"
"509","okezonecom",181,77.79996,"2","14","62"
"510","okezonecom",144,80.12466,"2","14","62"
"141","okezonecom",254,65.586996,"3","14","62"
"142","okezonecom",94,76.130532,"3","14","62"
"143","okezonecom",80,69.928452,"3","14","62"
"144","okezonecom",87,76.595688,"3","14","62"
"145","okezonecom",67,76.130532,"3","14","62"
"576","okezonecom",144,62.582832,"3","14","62"
"577","okezonecom",76,78.383448,"3","14","62"
"578","okezonecom",146,76.67946,"3","14","62"
"579","okezonecom",63,77.918724,"3","14","62"
"580","okezonecom",77,78.383448,"3","14","62"
"26","stackoverflowcom",100,62.85438,"0","15","67"
"27","stackoverflowcom",146,76.666824,"0","15","67"
"28","stackoverflowcom",116,78.684372,"0","15","67"
"29","stackoverflowcom",66,77.287608,"0","15","67"
"30","stackoverflowcom",158,77.442804,"0","15","67"
"691","stackoverflowcom",85,61.147224,"1","15","67"
"692","stackoverflowcom",278,74.649276,"1","15","67"
"693","stackoverflowcom",36,74.028492,"1","15","67"
"694","stackoverflowcom",52,73.873296,"1","15","67"
"695","stackoverflowcom",190,75.580452,"1","15","67"
"211","stackoverflowcom",70,61.94232,"2","15","67"
"212","stackoverflowcom",101,64.28862,"2","15","67"
"213","stackoverflowcom",137,75.70728,"2","15","67"
"214","stackoverflowcom",65,75.8637,"2","15","67"
"215","stackoverflowcom",60,76.48938,"2","15","67"
"256","stackoverflowcom",80,62.28,"3","15","67"
"257","stackoverflowcom",64,77.0715,"3","15","67"
"258","stackoverflowcom",65,76.4487,"3","15","67"
"259","stackoverflowcom",72,76.4487,"3","15","67"
"260","stackoverflowcom",155,73.179,"3","15","67"
"676","stackoverflowcom",95,61.331616,"3","15","67"
"677","stackoverflowcom",135,75.964032,"3","15","67"
"678","stackoverflowcom",280,76.742352,"3","15","67"
"679","stackoverflowcom",70,75.964032,"3","15","67"
"680","stackoverflowcom",69,75.030048,"3","15","67"
"751","apacheorg",76,60.80832,"0","16","80"
"752","apacheorg",82,74.96064,"0","16","80"
"753","apacheorg",72,70.29504,"0","16","80"
